$0003FFFF (    MOV) = 1:  0.46%, 2: 57.35%, 3: 42.19%, 4: NEVER , 5: NEVER , 
$0003FFFF (logical) = 1:  0.46%, 2: 57.35%, 3: 42.19%, 4: NEVER , 5: NEVER , 
$0003FFFF (ADD/SUB) = 1:  0.46%, 2: 57.35%, 3: 42.19%, 4: NEVER , 5: NEVER , 
$0003FFFF (Offs.12) = 1:  1.56%, 2: 98.44%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0003FFFF (Offs.10) = 1:  0.39%, 2: 99.61%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0003FFFF (Offs. 8) = 1:  0.10%, 2: 43.65%, 3: 56.25%, 4: NEVER , 5: NEVER , 
$0003FFFF (Offs. 6) = 1:  0.02%, 2: 15.60%, 3: 84.37%, 4: NEVER , 5: NEVER , 

$0007FFFF (    MOV) = 1:  0.24%, 2: 36.48%, 3: 63.28%, 4: NEVER , 5: NEVER , 
$0007FFFF (logical) = 1:  0.24%, 2: 36.47%, 3: 63.28%, 4: NEVER , 5: NEVER , 
$0007FFFF (ADD/SUB) = 1:  0.24%, 2: 36.48%, 3: 63.28%, 4: NEVER , 5: NEVER , 
$0007FFFF (Offs.12) = 1:  0.78%, 2: 99.22%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0007FFFF (Offs.10) = 1:  0.20%, 2: 62.30%, 3: 37.50%, 4: NEVER , 5: NEVER , 
$0007FFFF (Offs. 8) = 1:  0.05%, 2: 24.95%, 3: 75.00%, 4: NEVER , 5: NEVER , 
$0007FFFF (Offs. 6) = 1:  0.01%, 2:  8.58%, 3: 91.41%, 4: NEVER , 5: NEVER , 

$000FFFFF (    MOV) = 1:  0.13%, 2: 26.04%, 3: 73.82%, 4: NEVER , 5: NEVER , 
$000FFFFF (logical) = 1:  0.13%, 2: 26.04%, 3: 73.83%, 4: NEVER , 5: NEVER , 
$000FFFFF (ADD/SUB) = 1:  0.13%, 2: 26.04%, 3: 73.83%, 4: NEVER , 5: NEVER , 
$000FFFFF (Offs.12) = 1:  0.39%, 2: 99.61%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000FFFFF (Offs.10) = 1:  0.10%, 2: 43.65%, 3: 56.25%, 4: NEVER , 5: NEVER , 
$000FFFFF (Offs. 8) = 1:  0.02%, 2: 15.60%, 3: 84.37%, 4: NEVER , 5: NEVER , 
$000FFFFF (Offs. 6) = 1:  0.01%, 2:  5.07%, 3: 94.92%, 4: NEVER , 5: NEVER , 

$001FFFFF (    MOV) = 1:  0.07%, 2: 15.56%, 3: 84.37%, 4: NEVER , 5: NEVER , 
$001FFFFF (logical) = 1:  0.07%, 2: 15.55%, 3: 84.37%, 4: NEVER , 5: NEVER , 
$001FFFFF (ADD/SUB) = 1:  0.07%, 2: 15.56%, 3: 84.37%, 4: NEVER , 5: NEVER , 
$001FFFFF (Offs.12) = 1:  0.20%, 2: 62.30%, 3: 37.50%, 4: NEVER , 5: NEVER , 
$001FFFFF (Offs.10) = 1:  0.05%, 2: 24.95%, 3: 75.00%, 4: NEVER , 5: NEVER , 
$001FFFFF (Offs. 8) = 1:  0.01%, 2:  8.58%, 3: 91.41%, 4: NEVER , 5: NEVER , 
$001FFFFF (Offs. 6) = 1:  0.00%, 2:  2.73%, 3: 97.27%, 4: NEVER , 5: NEVER , 

$003FFFFF (    MOV) = 1:  0.04%, 2: 10.32%, 3: 89.64%, 4: NEVER , 5: NEVER , 
$003FFFFF (logical) = 1:  0.04%, 2: 10.31%, 3: 89.65%, 4: NEVER , 5: NEVER , 
$003FFFFF (ADD/SUB) = 1:  0.04%, 2: 10.32%, 3: 89.65%, 4: NEVER , 5: NEVER , 
$003FFFFF (Offs.12) = 1:  0.10%, 2: 43.65%, 3: 56.25%, 4: NEVER , 5: NEVER , 
